,Video_Id,Title,Date_of_Publish,view,Likes,Dislikes
0,lEljKc9ZtU8,Getting Started with TensorFlow 2.0 (Google I/O'19),2019-05-08T18:52:57Z,162105,2326,0
1,YcqVWFZXyaE,Farm Bills : Myth vs Reality - Dr. Vikas Divyakirti : Concept Talk  I  Drishti IAS,2020-12-10T14:30:02Z,9480021,230909,0
2,kLUuegj9D9E,Meet 12th Fail DIG - Mr. Manoj Kumar Sharma,2019-10-15T16:47:19Z,7070089,229102,0
3,OMUEmWGxoVg,"Azharuddin Zahiruddin Quazi, Rank 315 (UPSC-2019)",2020-08-22T15:00:12Z,2954499,89133,0
4,qkxuFKqJXWY,Roommate - Stand Up Comedy Ft. Anubhav Singh Bassi,2021-04-15T18:31:51Z,39053141,2020020,0
5,iLcvvVXBSFo,HOW TO BECOME DATA SCIENTIST IN 2020- in Hindi| SALARY OF DATA SCIENTIST| Sangwans Studio|,2019-11-16T10:27:24Z,942101,55469,0
6,KdgQvgE3ji4,Data Science in 8 Minutes | Data Science for Beginners | What is Data Science? | Edureka,2019-03-31T10:23:01Z,309023,7207,0
7,xC-c7E5PK0Y,What REALLY is Data Science? Told by a Data Scientist,2018-06-23T01:51:50Z,2525051,98590,0
8,WSbgixdC9g8,AI vs Machine Learning vs Deep Learning | Machine Learning Training with Python | Edureka,2018-03-29T15:27:24Z,1157043,21155,0
9,VwVg9jCtqaU,Machine Learning Zero to Hero (Google I/O'19),2019-05-09T19:49:54Z,1483242,31367,0
